Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,omen,95%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,yoru,60%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,viper,55%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,sova,55%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,vyse,50%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,fade,45%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,raze,25%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,neon,20%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,waylay,20%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,cypher,20%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,killjoy,15%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,sage,10%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,tejo,10%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,kayo,5%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,breach,5%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,chamber,5%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,astra,5%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,jett,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,iso,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,harbor,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,phoenix,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,gekko,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,reyna,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,skye,0%
Valorant Champions 2025,Playoffs,Upper Quarterfinals,All Maps,deadlock,0%
