Tournament,Stage,Match Type,Match Name,Map,Player,Team,Agents,Rating,Average Combat Score,Kills,Deaths,Assists,Kills - Deaths (KD),"Kill, Assist, Trade, Survive %",Average Damage Per Round,Headshot %,First Kills,First Deaths,Kills - Deaths (FKD),Side
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,something,Paper Rex,yoru,1.63,258,21,12,12,9,91%,167,15%,4,0,4,both
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,something,Paper Rex,yoru,1.33,199,7,5,6,2,100%,137,16%,1,0,1,attack
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,something,Paper Rex,yoru,1.88,308,14,7,6,7,83%,192,13%,3,0,3,defend
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Jinggg,Paper Rex,raze,1.52,315,24,14,7,10,82%,207,18%,5,2,3,both
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Jinggg,Paper Rex,raze,1.11,239,8,7,2,1,80%,148,13%,3,2,1,attack
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Jinggg,Paper Rex,raze,1.87,380,16,7,5,9,83%,256,21%,2,0,2,defend
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,f0rsakeN,Paper Rex,brimstone,1.17,217,18,13,13,5,77%,150,36%,2,5,-3,both
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,f0rsakeN,Paper Rex,brimstone,1.99,341,14,4,7,10,100%,218,38%,1,1,0,attack
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,f0rsakeN,Paper Rex,brimstone,0.49,114,4,9,6,-5,58%,94,32%,1,4,-3,defend
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,d4v41,Paper Rex,viper,0.94,176,14,14,5,0,82%,129,21%,1,1,0,both
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,d4v41,Paper Rex,viper,1.37,236,9,5,1,4,100%,167,14%,1,0,1,attack
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,d4v41,Paper Rex,viper,0.59,126,5,9,4,-4,67%,98,38%,0,1,-1,defend
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,PatMen,Paper Rex,fade,0.88,161,12,13,5,-1,68%,110,34%,0,2,-2,both
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,PatMen,Paper Rex,fade,0.99,173,6,4,1,2,80%,118,28%,0,1,-1,attack
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,PatMen,Paper Rex,fade,0.79,152,6,9,4,-3,58%,104,41%,0,1,-1,defend
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Rarga,Xi Lai Gaming,raze,0.98,183,14,16,3,-2,64%,130,24%,3,1,2,both
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Rarga,Xi Lai Gaming,raze,0.9,197,8,9,2,-1,75%,138,36%,2,1,1,attack
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Rarga,Xi Lai Gaming,raze,1.08,167,6,7,1,-1,50%,121,13%,1,0,1,defend
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Viva,Xi Lai Gaming,brimstone,0.92,178,14,16,5,-2,55%,112,41%,0,3,-3,both
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Viva,Xi Lai Gaming,brimstone,1.13,194,9,8,2,1,58%,133,50%,0,1,-1,attack
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Viva,Xi Lai Gaming,brimstone,0.67,159,5,8,3,-3,50%,88,25%,0,2,-2,defend
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,NoMan,Xi Lai Gaming,skye,0.84,221,17,20,1,-3,64%,139,35%,3,1,2,both
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,NoMan,Xi Lai Gaming,skye,1.06,249,11,10,0,1,75%,157,46%,0,0,0,attack
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,NoMan,Xi Lai Gaming,skye,0.57,188,6,10,1,-4,50%,117,23%,3,1,2,defend
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,coconut,Xi Lai Gaming,gekko,0.57,169,13,19,3,-6,59%,100,38%,3,3,0,both
